Scenario_Name,ID_Country,ID_Sector,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ref,Austria,Tertiary,EUR,305199539.04814404,355209110.37846404,371510228.7753894,387923570.0307726,407352300.8017782,397986704.931229,415677694.68003947,384302099.6435258,413977618.4919028,419451028.2956879,416167676.61126894,377666640.6333214,353300748.8841697,359635023.4785807,324938532.5130919,303691646.49603814,301099525.71616447,302551941.7674497,304211374.8683585,300104264.8760925,318075630.8517941,302954581.4778221,316054830.4634717,302229428.3682165,296314345.4925455,292320136.455496,311065501.82803553,309813047.00098246,294280929.00094116,299655503.07748204,297214227.26479125
ref,Belgium,Tertiary,EUR,345953236.1448337,343329440.52375144,529611146.9303147,506690636.63450325,590410514.4563628,644969440.5698445,626383416.5446749,593550783.5521907,551641909.2942127,563696095.2893019,576452442.777312,491415815.3318699,437771142.7123528,429666765.70875955,416471545.8419452,383722818.56021863,357202497.5453005,358055464.8328817,373060459.88377684,380854369.26709706,360278228.4715217,369759104.77693474,390069377.60864246,385920596.0018562,422993551.7407725,384830661.40722466,379600011.6043377,384364282.67724997,385638374.3492113,417970748.712401,355981670.15847224
ref,Cyprus,Tertiary,EUR,20151803.705733486,30287086.022068713,26045545.25703239,25085007.154617082,31097671.06445814,29196806.49642747,28700431.40553302,32469078.30231408,29504977.467998907,34415242.77155253,33646041.06268326,32017619.383240942,28712347.24715824,30918178.95976292,31443110.778168604,28835188.126390215,30790267.413482588,27720690.12805478,26650545.06833802,28965911.96471377,26762690.138322707,25976932.793942314,29153347.390848994,30320749.938124962,29433429.87618641,30668920.983603533,31623897.055152483,31629183.624697313,32363666.12875166,31054134.40067023,32025729.325662572
ref,Czech Republic,Tertiary,EUR,128170063.2624538,184486582.77137467,164731033.72813693,181019477.0415252,186690787.3373773,235327003.44502684,204139876.0841354,198234119.3554872,206342652.72580722,180212566.1128692,202806356.1014292,158911726.41513103,154600465.06866848,160884558.35279298,151287300.6272922,158224269.67006305,144616451.930711,136746761.66536084,163058908.345905,149538300.6630935,143415588.23215464,161431351.20790303,158428423.37070388,161780388.17511547,155829220.1087026,150994863.49591866,157565978.29933417,147286497.39549193,164005343.54611185,144106427.42813015,157195147.28399855
ref,Denmark,Tertiary,EUR,201361887.86547187,232995475.7769038,282754791.3153102,273111795.92748916,300863472.1288594,286338780.10095334,244458255.86236688,265657771.65890542,239253494.92312756,275053195.3238132,242446716.9527623,219230166.88007382,227795824.58218318,211843537.91472217,205325921.2065993,233029475.90074024,205610535.65061843,190527906.20333505,206497848.29092202,186021066.99125335,186847997.67793688,199080217.58854297,205583307.81249213,183105504.99223658,186895062.91888827,196353455.82891214,177795984.80625352,188442234.90217105,199068172.60993814,187579450.59167245,200891513.21195048
ref,Estonia,Tertiary,EUR,20249600.881795038,21897048.81129216,20978125.629182294,21949856.391485125,25660570.52881088,25179992.034606837,23728654.988719843,25290513.94315483,23236034.25440107,23685890.74409366,23825963.60051598,21704710.93205568,19311567.042457677,20026991.614435125,18914450.808089614,17536359.843051802,16911696.822784465,16644054.045945013,15913049.411976453,14640658.877027748,13829240.667143626,14392386.909803906,14825187.87087049,13480595.236321054,13476410.679528786,13879877.303235272,14821468.98514214,13886045.374637665,14988224.50602091,13686267.713068984,14524371.990453783
ref,Finland,Tertiary,EUR,261332956.13676044,303920130.675124,422833599.5885004,397326901.44272476,413004301.94996345,418437185.060414,378614440.9055254,394764281.28474385,400300665.1064313,412315177.0727629,421078851.317375,375037630.20845723,356610686.35498196,335159161.6703277,321533907.60119677,305503646.68560773,286918936.74469185,284222977.4880291,274537992.186175,276158346.35475487,281380861.6768204,286746154.0818372,302741196.27223,304898111.6964854,301569864.4314996,308675586.8167379,306633805.8517791,296340866.10862595,299321653.6511997,287681573.1723092,291626157.4779688
ref,France,Tertiary,EUR,1838786006.6228344,1830822163.1076345,2910488943.2437725,2951875804.0944705,2979887279.656256,3222234353.420902,3224319508.432921,3025530189.183984,2912090000.0772038,2919457555.452093,2900662308.1891947,2599204385.095751,2576796391.5696354,2351617922.9202676,2228910022.599144,2317912005.6050606,2080562258.855315,2088658456.6064258,2101360442.4848657,2035562796.302504,2048303255.9273095,2109387448.4240353,2252984791.727243,2228757818.82579,2220602406.3930473,2263106089.8323197,2343384409.555242,2218020064.304689,2182549020.7976418,2255103071.225599,2166612069.224885
ref,Germany,Tertiary,EUR,3853162008.937927,4012900311.075706,6587507572.997948,5568712776.176986,5791819960.5067625,6244343672.28531,6197347835.165613,5779447240.854275,5759091346.072401,5543586640.941177,5932426063.117651,5093515073.090128,4660841289.249004,4262561384.3389482,4123280532.361097,3813106927.4638634,3888962443.7118273,3639988276.49844,3801484664.5321813,3790258163.6758924,3862139419.4139876,3922708130.119611,3982533127.9186115,4213500477.49932,3868718665.0582237,3948172634.8919883,3867837713.1862035,3715545682.7295237,3676440620.4342384,3853644369.3279104,3802518963.349708
ref,Greece,Tertiary,EUR,84370383.61602753,85178931.17404401,212082322.97103232,218828489.94965854,229932205.283208,259456720.26413956,236231087.1734089,225191805.44075122,243379699.2337632,235394427.67552158,261154165.44351763,249309541.03549564,221098980.97849932,217440556.21706605,219356690.72610712,182704979.4093787,175917605.02209523,185404005.5140374,183970768.65979213,167107868.70043433,171287665.47510928,184104087.81060436,185955149.32291174,173559079.67178124,185597090.51173753,192941421.7981027,202999541.93954694,192170024.36342365,190275240.30021343,201095804.63776815,201617546.54739496
ref,Hungary,Tertiary,EUR,79268659.0060022,128387971.79125899,137118589.359434,153843254.11878365,174304048.13714454,221807460.60371312,193173684.8221843,184741276.62926868,195466644.81113696,176991772.65549463,176975939.80769348,186804942.6317242,179345273.77997217,169848623.30440298,200351988.33206114,197638979.27306774,186148086.98155656,197769872.72399652,187379367.9831781,178371100.27726716,184729972.5653179,189736072.1740001,169565422.24422485,169735218.9940347,174034161.36103135,185807195.6078982,176357740.20140085,178875313.26899007,172463049.38868898,182678913.42714968,190413016.62216985
ref,Ireland,Tertiary,EUR,142864600.34984347,199548521.17775238,202065061.23172477,236884261.28865466,236875757.9930581,278488519.98138374,282823632.9643458,262010871.36531124,244828719.0346526,253448476.83072245,244339372.111768,236887551.1738317,210690903.1421427,211602893.7859452,190947180.1064275,211678106.69736978,193160576.32617804,217213056.6688892,196738526.2256343,192419849.671563,199610357.49710983,182287855.28848398,199536664.04362324,199700307.7575899,186220639.01667935,205376454.49225295,189369543.34210777,196552286.03711104,190950128.4197642,195384021.97165462,212072355.34171548
ref,Italy,Tertiary,EUR,718010728.2839965,699796765.1316078,1482822926.030601,1287314784.3118067,1477854971.5918193,1562439447.5588672,1437519111.3950522,1375975419.4094548,1211457178.0052733,1190534617.334045,1224539711.023967,1039604974.2461601,964821983.5444063,1095085786.7229133,1131248709.9053738,1156858379.389421,1098065502.6621943,1229079347.83743,1075242853.2436042,1276919392.5275168,1235519883.4415555,1213934152.6224442,1201591865.4258633,1217378126.761277,1231841053.4319086,1250372913.1751845,1230645697.4859645,1203046381.8761318,1204152608.46641,1157142500.6224024,1185781017.255494
ref,Latvia,Tertiary,EUR,26067628.02958473,36452560.80359387,38683803.517183505,41873784.513752356,42156474.64480584,48742204.29804677,43969850.55231715,42580567.22872613,41474739.09308486,42332077.587225445,42863989.47634821,39579348.73887675,37896196.09203524,36134353.97413413,35026685.660893455,33127892.068181794,33954675.5151652,31539272.63613888,31780264.391584583,34659901.25377392,32717286.942107163,33774851.039926395,36641726.62335034,36339534.55272496,36286196.75568268,36046205.06247833,36481655.09742263,37144393.1770874,35331206.15047685,35180480.0532526,35853367.03794454
ref,Lithuania,Tertiary,EUR,16998231.31890968,19157326.34439869,22776811.85139045,18271038.726343546,22518764.5726787,20679761.449596018,18735553.085226685,19926503.798235647,18809924.529518485,19687405.716871493,16373781.807818381,17715446.1740765,16725139.132073991,16485894.011398967,16698118.227741368,16748249.439023897,14519557.268815828,17427713.48134882,16288139.716209808,15913110.06659124,18386281.0439868,16132738.55354185,15330491.10851008,19322908.63926453,15234049.027944742,16003163.39751024,15971076.349767635,16610268.07603514,14197457.268845888,13865426.173625723,17351476.651985247
ref,Luxembourg,Tertiary,EUR,25460869.13375998,26037388.924343124,32194176.581500396,34552475.44200577,36461048.11873136,39306727.067605376,37066906.56215505,36096091.19734561,37677044.02902559,35747826.19980658,37998058.35521446,33048914.88729624,30217180.91427056,29647601.74602564,27488322.19809083,26514105.60963669,24804017.5537386,23183400.93735431,24532244.302181635,22859169.39680347,22779247.762495246,23579552.167300623,24713619.61607935,25256598.296158303,24707786.754183266,23947282.368989047,24652403.50812733,24311283.913418148,26611165.166442752,26128804.550320145,23797106.835264854
ref,Malta,Tertiary,EUR,9961560.798988314,11969956.924415503,17707868.620543513,13124086.247510185,14442221.750548039,13822933.382578356,16299369.292219339,15386399.475509074,15765822.575707665,18679380.830914255,21394068.73411303,19102828.95963667,20077714.325651776,19052602.226800784,16964498.367122345,18437125.648869973,16305818.09335522,14800963.671166996,13736233.957284175,14118782.479967095,13914081.49007004,14487176.200320235,13751258.081303677,14591024.373899693,15031992.211329758,16121425.45208062,15685814.965587875,15959074.88586261,15999806.533310866,16375886.605685582,18159040.971730333
ref,Netherlands,Tertiary,EUR,417050626.4315322,854081885.4901146,1015777461.9566987,1100413574.2311516,1180509302.7457678,1342619139.6793551,1314219686.6681411,1233139764.375048,1114583920.3116052,983778622.5589814,899184545.3762791,829142448.7388015,786473089.6181917,792117239.2857202,801695806.572904,750887489.2987286,748387463.0091391,754599366.9705328,784016459.7533414,813722930.301981,785455031.0864822,766490389.7800614,870378080.9926081,787472210.3284075,772507010.3157656,774151625.8111614,751323167.9355309,756832992.7582662,724159500.6808317,756888371.4035016,732044279.1281723
ref,Poland,Tertiary,EUR,433903127.28532,575716635.8679181,483335345.74575394,507462302.99330544,540936280.2493027,592316695.8360991,550937669.321775,558914908.7954378,588668823.5152082,547432564.8885713,569467146.3738338,577036515.1733726,512529273.4008691,487981340.0722448,510966001.86363643,449386652.94176424,470004307.82882637,409198929.329775,424520584.23869306,419944350.6785615,408665128.5902064,401433504.7132315,416546572.3483603,421029079.0504534,397531183.1188558,386064016.1079748,369910316.60508335,400183435.4674371,361784282.64602256,366928867.0335794,362193480.1013243
ref,Portugal,Tertiary,EUR,131280307.05610308,199613039.374538,228633875.98340687,196221890.7736311,201904983.89722073,233710984.36317813,197260299.177759,199517717.22420058,212615727.81707847,209114943.61560833,240618595.79646263,234966615.11568338,212495610.48230898,197658842.25283912,183354313.97148845,184178193.39983433,165862968.94150153,158931981.2762962,151608909.95942155,154745892.76378217,140489077.8136856,146594905.45797494,143729034.83522895,157274366.8369757,149851057.27912328,159565605.63269663,158349878.13035408,157936793.53457603,151739425.13696936,150283344.0041824,156751619.5938402
ref,Slovakia,Tertiary,EUR,57033385.23338709,82646057.64060858,74729930.20593247,86524640.7561921,95993080.35988411,106649158.7293506,104193894.21927245,100673538.97951505,95629583.19855471,97569559.5853948,100123938.94514342,94768415.90578279,92652827.1537737,90633314.0322544,91146422.02394688,88267453.24319416,91035151.7210975,88104332.94005196,90141069.68554132,92130224.67218564,90565093.08210362,83837082.47914009,82036746.83048655,83506615.1424203,77875716.87444142,76917419.15110055,77026763.83181609,75219628.20178948,76500889.62940826,74840863.56768234,75893492.75070554
